Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,5398,5454.75,5394.5,5442.75,5442.75,231392
2017-04-21,5445,5454.75,5427.5,5442,5442,193756
2017-04-24,5471,5512.75,5471,5504,5504,212519
2017-04-25,5502,5557.25,5499,5548.25,5548.25,172850
2017-04-26,5546.75,5562.5,5535,5536.25,5536.25,221754
2017-04-27,5535.25,5599,5534.25,5591,5591,194734
2017-04-28,5584.5,5597.75,5571.75,5580.5,5580.5,185941
2017-05-01,5581,5637.25,5573.5,5630.75,5630.75,166028
2017-05-02,5629,5641.75,5622.5,5639.75,5639.75,169050
2017-05-03,5621,5631,5606,5613.25,5613.25,206431
2017-05-04,5609,5634,5603.75,5625.75,5625.75,223464
2017-05-05,5627,5649.5,5612.5,5648.25,5648.25,166263
2017-05-08,5658.25,5660.5,5634.5,5655.5,5655.5,164353
2017-05-09,5654.25,5687.75,5650.75,5676.25,5676.25,194000
2017-05-10,5678.5,5679.75,5658.25,5675.5,5675.5,174081
2017-05-11,5674.75,5676.25,5636.25,5670.75,5670.75,238806
2017-05-12,5670,5689.75,5656.5,5689,5689,186832
2017-05-15,5689.5,5706.5,5682.5,5701.25,5701.25,180918
2017-05-16,5705,5727.25,5696.25,5724.25,5724.25,183423
2017-05-17,5723.5,5724,5574.75,5578.75,5578.75,506880
2017-05-18,5575.5,5648.5,5550.5,5630.5,5630.5,522258
2017-05-19,5631.5,5676.5,5622,5653.25,5653.25,292202
2017-05-22,5652.75,5704.25,5648.75,5702,5702,198203
2017-05-23,5701.5,5718.5,5688.5,5711.5,5711.5,219010
2017-05-24,5709.5,5734.5,5705.25,5731.25,5731.25,191514
2017-05-25,5731.5,5795.5,5731.25,5782,5782,239940
2017-05-26,5781.25,5796.5,5772.75,5792.25,5792.25,163404
2017-05-30,5793,5803.5,5778.25,5792,5792,197717
2017-05-31,5792.5,5819.25,5763.75,5793.25,5793.25,332645
2017-06-01,5804.75,5824,5780.5,5822,5822,266069
2017-06-02,5823.75,5886.75,5822,5886,5886,298205
2017-06-05,5878.25,5891.25,5872.75,5880.75,5880.75,177414
2017-06-06,5880.25,5893.25,5848.5,5863.25,5863.25,257087
2017-06-07,5862.25,5884.75,5845.75,5879.75,5879.75,274935
2017-06-08,5877.75,5897.75,5853.5,5885,5885,266471
2017-06-09,5872.5,5898.75,5660.25,5740.5,5740.5,425289
2017-06-12,5740.5,5746.5,5634.5,5711,5711,260181
2017-06-13,5713.25,5760.25,5706.75,5751.25,5751.25,144808
2017-06-14,5752.25,5780,5680,5725.25,5725.25,120807
2017-06-15,5722.75,5724.5,5633.75,5702.5,5702.5,64524
2017-06-16,5701.5,5720,5685,5702,5702,356290
